date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Fri Jun 03,901,Cardinals,902,Cubs,-1.5,+168,+1.5,+168,-1.5,+158,-1.5,+185,-110,-110,-107,-105,o8,-104,u8,-118,o8,-105,u8,+100
Fri Jun 03,903,Giants,904,Marlins,-1.5,+115,+1.5,+115,-1.5,+152,+1.5,-135,-150,+130,-110,+125,o7,-125,u7,105,o8.5,-105,u8,+100
Fri Jun 03,905,Nationals,906,Reds,+1.5,-180,-1.5,-180,-1.5,+165,-1.5,+150,+110,-130,+116,-127,o9,-115,u9,-105,o10,+100,u9.5,+100
Fri Jun 03,917,Tigers,918,Yankees,+1.5,+140,-1.5,+140,+1.5,+155,-2.5,+100,+260,-333,+295,-345,o8,-110,u8,-110,o7.5,+102,u7,+105
Fri Jun 03,907,Diamondbacks,908,Pirates,-1.5,+140,+1.5,+140,-1.5,+143,-1.5,+165,-115,-105,+105,+100,o8,-110,u8,-110,o8.5,+100,u8,+100
Fri Jun 03,929,Angels,930,Phillies,+1,-143,-1,-143,+1.5,-170,-1.5,+155,+105,-125,+110,-125,o8.5,-120,u8.5,-100,o9.5,+110,u9,-110
Fri Jun 03,915,Guardians,916,Orioles,-1.5,+122,+1.5,+122,-1.5,+140,+1.5,-130,-136,+116,-120,+130,o8.5,-112,u8.5,-108,o8,-104,u7.5,+100
Fri Jun 03,919,Twins,920,Blue Jays,+1.5,-110,-1.5,-110,+1.5,+105,-1.5,+110,+184,-220,+205,-185,o9.5,-110,u9.5,-110,o9,+105,u9.5,-120
Fri Jun 03,921,White Sox,922,Rays,+1.5,-126,-1.5,-126,+1.5,-115,-1.5,+170,+170,-200,+170,-125,o7,-118,u7,-104,o7.5,+105,u7,+105
Fri Jun 03,923,Mariners,924,Rangers,-1.5,+142,+1.5,+142,-1.5,+160,-1.5,+165,-108,-108,+105,-105,o8.5,-114,u8.5,-108,o8,+100,u8.5,+105
